code,chapter_code,chapter_name,description,unit,labor_unit_price,material_unit_price,total_unit_price,source_page
AC22CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, de 201 a 500 m2",m2,,,169.06,4
AC22CE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Proyecto estructural de la zona transparente de puente isostático, de 501 a 1000 m2",m2,,,84.24,4
AC40BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Levantamiento bajo tránsito primeros 2000 m2,m2,,,5.59,4
AC40BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Levantamiento bajo tránsito de 2001 a 10000 m2,m2,,,4.20,4
AC40CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Levantamiento de tránsito medio primeros 2000 m2,m2,,,6.63,4
AC40CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Levantamiento de tránsito medio de 2001 a 10000 m2,m2,,,4.95,4
AC40DB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Levantamiento tránsito intenso primeros 2000 m2,m2,,,7.66,4
AC40DC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Levantamiento de tránsito intenso de 2001 a 10000 m2,m2,,,6.54,4
AD13BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Muestra inalterada, extraída de un sondeo en pozo a cielo abierto,de 1.50 x 1.50 x 2.00 m de profundidad, en material clase II.",muestra,,,1857.13,4
AD19BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Clasificación visual y al tacto en material húmedo y seco.,prueba,,,235.12,4
AD19BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Contenido natural de agua.,prueba,,,228.76,4
AD19BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de los límites líquidos y plásticos.,prueba,,,501.54,4
AD19BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación del límite de contracción.,prueba,,,501.54,4
AD19BF,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Contracción lineal.,prueba,,,501.54,4
AD19CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Granulometría con mallas.,prueba,,,1003.08,4
AD19CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de finos por lavado.,prueba,,,1003.08,4
AD19CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de finos con hidrómetro.,prueba,,,1337.42,5
AD19DB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Densidad de sólidos.,prueba,,,752.33,5
AD19DC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de los pesos volumétricos húmedo y seco.,prueba,,,1003.08,5
AD19EB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba torcómetro de resistencia al corte.,prueba,,,376.17,5
AD19EC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba de compresión axial no confinada.,prueba,,,601.86,5
AD19FB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba triaxial rápida.,prueba,,,1504.64,5
AD19FC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba triaxial consolidada rápida.,prueba,,,1504.64,5
AD19FD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba triaxial lenta.,prueba,,,1504.64,5
AD19GB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba de consolidación unidimensional estándar con un mínimo de seis incrementos de carga.,prueba,,,1504.64,5
AD19GC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba de saturación bajo carga, expansibilidad, expansión libre, expansión restringida (serie de tres probetas).",prueba,,,2256.96,5
AD19GK,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba de permeabilidad con permeámetro de carga constante.,prueba,,,3009.28,5
AD19GL,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba de permeabilidad con permeámetro de carga variable.,prueba,,,4513.92,5
AD19HB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba de clasificación petrográfica.,prueba,,,2149.48,5
AE12CA,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Servicios de laboratorio tipo ""A"" para verificación y/o control de compactaciones en terracerías, sub-base y bases.",semana,,,14043.63,5
AE12CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Servicios de laboratorio tipo ""B"" para verificación y/o control de pavimentos con equipo de campo.",semana,,,17106.00,5
AE12CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Servicios de laboratorio tipo ""C"" para verificación y/o control de pavimentos con equipo de campo.",semana,,,22656.90,5
AE12CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Servicios de laboratorio tipo ""D"" para verificación y/o control de concreto hidráulico, con equipo para muestreo.",semana,,,16507.95,5
AE12CE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Servicios de laboratorio tipo ""E"" para verificación y/o control de producción de concreto hidráulico.",semana,,,19330.65,5
AE12DB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Servicio de laboratorio para prueba de compactación en terracerías, sub-base o base.",prueba,,,994.11,5
AE12DC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Servicio de laboratorio de determinación del peso volumétrico máximo y la humedad óptima.,prueba,,,974.48,5
AE12EB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Control de aplicación de riegos asfálticos.,m2,,,1.64,6
AE12EC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Control de tendido de carpeta asfáltica.,m2,,,1.64,6
AE12ED,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Muestreo de mezcla asfáltica y elaboración de tres pastillas Marshall.,muestra,,,612.05,6
AE12EE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Permeabilidad de carpeta asfáltica.,prueba,,,283.22,6
AE12FB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Muestreo de concreto y mortero hidráulico.,muestra,,,137.58,6
AE12FC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Ensaye de cilindros de concreto y mortero en laboratorio central.,pieza,,,134.35,6
AE13BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Visita para verificación de grado de compactación en terracerías, sub- bases y bases con un mínimo de cinco calas y máximo de diez sin determinar peso volumétrico máximo.",visita,,,2927.39,6
AE13CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Visita para verificación de grado de compactación y espesor de carpetas asfálticas, con extracción de corazones, mínimo cinco calas y un máximo de diez.",visita,,,5535.36,6
AE13CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Extracción de corazón adicional y determinación de espesor y grado de compactación en carpeta asfáltica.,pieza,,,553.53,6
AE13DB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Visita para determinar permeabilidad en carpeta con un mínimo de cinco pruebas y un máximo de diez.,visita,,,3965.20,6
AE13DC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Permeabilidad en carpeta asfáltica, prueba adicional.",prueba,,,283.22,6
AE13ED,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Visita para muestreo con extracción y prueba a la compresión de corazones de concreto, ya fraguado (máximo tres).",visita,,,7153.27,6
AE13EE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Extracción y prueba a la compresión de corazón de concreto, prueba adicional.",pieza,,,2384.36,6
AE13EF,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Visita para efectuar estudios esclerométricos con un mínimo de cinco y un máximo de 10 estudios realizados durante la visita.,visita,,,4157.59,6
AE13EG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Estudio esclerométrico adicional.,estudió,,,415.75,6
AE14BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Ensayes completos de terracerías, sub-base y base.",serie,,,5123.09,7
AE14BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación del peso volumétrico máximo y la humedad óptima.,prueba,,,1076.94,7
AE14BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación del valor cementante.,prueba,,,1365.25,7
AE14BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Determinación del valor soporte estándar, con uno o dos grados de compactación.",prueba,,,1781.75,7
AE14BF,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Granulometría en seco.,análisis,,,1000.29,7
AE14BG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de límites de Atterberg.,serie,,,857.38,7
AE14CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Análisis de cemento asfáltico.,análisis,,,3477.36,7
AE14CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Análisis de asfaltos rebajados o emulsiones asfálticas.,análisis,,,3879.38,7
AE14CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de adherencia del pétreo con asfalto.,prueba,,,2343.19,7
AE14CE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Degradación del pétreo.,prueba,,,1992.24,7
AE14CF,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Desgaste según máquina de Los Ángeles.,prueba,,,5179.36,7
AE14CG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de peso volumétrico del pétreo (suelto y vibrado).,prueba,,,357.69,7
AE14CH,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Determinación de contenido de asfalto y composición granulométrica de mezcla asfáltica.,muestra,,,2485.32,7
AE14CI,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Estabilidad de mezcla asfáltica.,muestra,,,2850.36,7
AE14CJ,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Elaboración de probetas Marshall.,muestra,,,715.28,7
AE14CK,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Pérdida de estabilidad por inmersión.,prueba,,,4629.39,7
AE14CL,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Diseño de mezcla asfáltica.,diseño,,,10474.62,7
AE14DB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Determinación de propiedades físicas de agregados (grava o arena), incluye: Granulometría, contenido de materia orgánica, pérdida por lavado, densidad, absorción y peso volumétrico.",muestra,,,4054.41,7
AE14DC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Densidad y absorción (grava o arena).,prueba,,,1174.84,7
AE14DD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Equivalente de arena.,prueba,,,814.90,7
AE14DE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Granulometría en seco de grava o arena.,análisis,,,1461.21,7
AE14DF,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Granulometría por lavado de arena.,prueba,,,584.47,7
AE14DG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Sanidad.,prueba,,,4465.92,7
AE14EB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Diseño de proporcionamiento, incluye la mezcla de pruebas y la prueba a compresión de cinco cilindros.",diseño,,,4599.48,7
AE14FB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba a la tensión de varillas de acero corrugado de 6.40 a 15.90 mm (1/4"" a 5/8"") de diámetro.",prueba,,,678.77,7
AE14FC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba a la tensión de varillas de acero corrugado de 19.10 a 25.40 mm (3/4"" a 1"") de diámetro.",prueba,,,896.96,8
AE14FD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba a la tensión de varillas de acero corrugado de 31.80 a 38.10 mm (1 1/4"" a 1 1/2"") de diámetro.",prueba,,,1071.53,8
AE14FG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba a la tensión de mallas, castillos y trabes electrosoldadas para refuerzo de concreto.",prueba,,,1226.59,8
AE14HB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Pruebas de bloques o de tabiques a compresión, serie de cinco piezas.",serie,,,1716.21,8
AE14HD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba de resistencia por el método de tres apoyos en tubos de concreto simple de 10, 15, 20 y 30 cm de diámetro.",prueba,,,1638.62,8
AE14HG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Prueba de resistencia por el método de tres apoyos en tubos de concreto simple de 38, 50 y 60 cm de diámetro.",prueba,,,2220.52,8
AE14HJ,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio",Prueba de resistencia por el método de tres apoyos en tubos de concreto reforzado de 75 y 100 cm de diámetro.,prueba,,,3747.99,8
AF12BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, primeras dos hectáreas.",Ha,,,9819.13,8
AF12BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, de 2.01 a 5.00 hectáreas.",Ha,,,6239.00,8
AF12BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, de 5.01 a 10.00 hectáreas.",Ha,,,4394.16,8
AF12BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, de 10.01 a 20.00 hectáreas.",Ha,,,3583.21,8
AF12BF,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, de 20.01 a 50.00 hectáreas.",Ha,,,2773.30,8
AF12BG,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, de 50.01 a 100.00 hectáreas.",Ha,,,1604.43,8
AF12BH,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Levantamiento de poligonales cerradas, con equipo de topografía, de más de 100 hectáreas.",Ha,,,1388.38,8
AF13BB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, primeras dos hectáreas.",Ha,,,12595.21,8
AF13BC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, de 2.01 a 5.00 hectáreas",Ha,,,9189.99,9
AF13BD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, de 5.01 a 10.00 hectáreas",Ha,,,7606.11,9
AF13BE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, de más de 10 hectáreas.",Ha,,,4475.58,9
AF13CB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, primeros 10 000 m2",m2,,,4.41,9
AF13CC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, de 10 001 a 15 000 m2.",m2,,,3.79,9
AF13CD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, de 15 001 a 20 000 m2.",m2,,,3.12,9
AF13CE,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, de más de 20 000 m2.",m2,,,2.54,9
AF13DB,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de estructura para edificación, con equipo de topografia.",m2,,,10.08,9
AF13DC,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de estructura para vialidad, con equipo de topografia.",m2,,,9.20,9
AF13DD,A,"Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio","Trazo y nivelación para desplante de estructura para obra hidráulica, con equipo de topografia.",m2,,,9.62,9
BC12BB,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos","Desyerbe y limpia del terreno realizada a mano, incluye: acarreo libre a 20 m.",m2,,,12.46,9
BC12BC,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos","Acarreo en carretilla del material producto del desyerbe, a estaciones subsecuentes de 20 m",m3-estac,,,35.49,9
BC12CB,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Desmonte por medios mecánicos en área de bosque.,m2,,,3.36,9
BC12CC,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Desmonte por medios mecánicos en área de semiárida a árida.,m2,,,1.05,9
BC12CD,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Desmonte por medios mecánicos en área semidesértica.,m2,,,0.70,10
BD12BB,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Tala de árbol con perímetro de tronco de 0.25 a 0.50 m,pieza,,,421.87,10
BD12BC,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Tala de árbol con perímetro de tronco de 0.51 a 1.00 m,pieza,,,1277.07,10
BD12BD,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Tala de árbol con perímetro de tronco de 1.01 a 1.50 m,pieza,,,1532.54,10
BD12CB,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Extracción manual de tocón con perímetro de 0.25 a 0.50 m,pieza,,,348.55,10
BD12CC,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Extracción manual de tocón con perímetro de 0.51 a 1.00 m,pieza,,,958.47,10
BD12CD,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Extracción manual de tocón con perímetro de 1.01 a 1.50 m,pieza,,,1405.75,10
BD13DB,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Poda de árboles hasta 5.00 m de altura.,pieza,,,689.30,10
BD13DC,B,"Desyerbe, desmonte, tala, excavaciones, demoliciones, acarreos y rellenos",Poda de árboles de 5.10 a 10.00 m de altura.,pieza,,,854.95,10
